qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20,method.21,metric.21,query.21
QALD2_tr-18,Which museum exhibits The Scream by Munch,0.0066,21,wiki.topn3,0.0556,museum exhibits scream munch museums tourist activities museology Museum museums tourist activities museology Museum expressionist paintings madonna  edvard munch  ben day dots The Scream kurt schwitters madonna  edvard munch  national museum of art  architecturand design Edvard Munch,wordnet.topn3.replace,0.0385,museum demo showing holler screech riot crunch Edvard Munch,termluster.topn5.3.bm25,0.0345,museum exhibits scream munch art edvard munch art edvard munch art edvard museum,onfields.topn3.10.1.1.bm25,0.0333,"{'by': 2, 'the': 2, 'exhibit': 2, 'which': 2, 'museum': 2, 'scream': 2, 'munch': 2, 'art': 1.821, 'paint': 1.667, 'edvard': 1.553, 'norwegian': 1.48, 'norway': 1.455, 'oslo': 1.301, 'skrik': 1.073, 'galleri': 1.049}",rm3.topn10.10.0.5.bm25,0.0303,norwai exhibit paint museum kiss art which oslo edvard scream norwegian munch,sensedisambiguation.replace,0.0278,Which museum expose The screech by munch,tagmee.topn3.replace,0.0246,Nation Official bilingualism in Canada Official language,conceptluster.topn5.3.bm25,0.0196,museum exhibits scream munch museum edvard munch,wiki.topn3.replace,0.019,independence nationality society Nation english language in canada commission of inquiry on thsituation of thfrench languagand linguistic rights in quebec section sixteen of thcanadian charter of rights and freedoms Official bilingualism in Canada ethnologue languagpolicy lingua franca Official language,tagmee.topn3,0.0167,museum exhibits scream munch Museum Museum The Scream Edvard Munch,wordnet.topn3,0.0125,museum exhibits scream munch demo showing holler screech riot crunch Edvard Munch,conceptnet.topn3.replace,0.0099,art glory days yell munch,adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,0.0091,"{'by': 2, 'scream': 2, 'the': 2, 'exhibit': 2, 'museum': 2, 'which': 2, 'var': 2.0, 'munch': 2, 'edvard': 1.55, 'flu': 1.325, 'null': 1.325, 'munazzamat': 1.275, '75981': 1.25, 'documentwriteopt': 1.15, 'documentsearchwidgitsortdropdownoptionslength': 1.125, 'savedscop': 1.125, 'tcanet': 1.05}",docluster.topn10.3.bm25,0.0088,which museum exhibits the scream by munch  munch kiss,glove.topn3,0.0083,museum exhibits scream munch exhibit displays cry shout edvard moongk,thesaurus.topn3,0.0078,museum exhibits scream munch,anchor.topn3,0.0078,museum exhibits scream munch,thesaurus.topn3.replace,0.0078,museum exhibits scream munch,anchor.topn3.replace,0.0078,museum exhibits scream munch,relevancefeedback.topn10.bm25,0.0076,which museum exhibits the scream by munch  munch kiss whistler super,conceptnet.topn3,0.0068,museum exhibits scream munch art glory days yell
QALD2_tr-21,Which states border Illinois,0.0461,7,tagmee.topn3.replace,0.1979,Universal Studios,wiki.topn3.replace,0.0833,universal studios former vivendi subsidiaries metro goldwyn mayer Universal Studios,termluster.topn5.3.bm25,0.0493,states border illinois name illinoi border illinoi state area state name border,thesaurus.topn3,0.047,states border illinois,anchor.topn3,0.047,states border illinois,thesaurus.topn3.replace,0.047,states border illinois,anchor.topn3.replace,0.047,states border illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-22,In which country is the Limerick Lake,0.1183,10,docluster.topn10.3.bm25,0.3347,in which country is the limerick lake  ontario,tagmee.topn3,0.3066,country limerick lake Limerick Lake,relevancefeedback.topn10.bm25,0.3,in which country is the limerick lake  main ireland lake road ontario new,thesaurus.topn3,0.2866,country limerick lake,anchor.topn3,0.2866,country limerick lake,thesaurus.topn3.replace,0.2866,country limerick lake,anchor.topn3.replace,0.2866,country limerick lake,conceptluster.topn5.3.bm25,0.2866,country limerick lake,termluster.topn5.3.bm25,0.2821,country limerick lake counti lake town counti limerick town,rm3.topn10.10.0.5.bm25,0.1571,ireland main lake arrowhead york ontario hast tipperari countri which road limerick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-23,Which television shows were created by Walt Disney,0.1962,7,tagmee.topn3,0.3421,television shows created walt disney Television program Television The Walt Disney Company,conceptluster.topn5.3.bm25,0.3421,television shows created walt disney walt disney company television television program,termluster.topn5.3.bm25,0.3336,television shows created walt disney walt show seri walt televis seri walt televis show creat disnei list,thesaurus.topn3,0.2866,television shows created walt disney,anchor.topn3,0.2866,television shows created walt disney,thesaurus.topn3.replace,0.2866,television shows created walt disney,anchor.topn3.replace,0.2866,television shows created walt disney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-24,Which mountain is the highest after the Annapurna,0.1915,3,termluster.topn5.3.bm25,0.3205,mountain highest annapurna annapurna himalaya nepal mountain himalaya nepal,tagmee.topn3,0.2168,mountain highest annapurna Mountain Annapurna,conceptluster.topn5.3.bm25,0.1971,mountain highest annapurna mountain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-25,In which films directed by Garry Marshall was Julia Roberts starring,0.6629,7,conceptluster.topn5.3.bm25,0.6973,films directed garry marshall julia roberts starring film director film,tagmee.topn3,0.68,films directed garry marshall julia roberts starring Film Film director Garry Marshall Julia Roberts,sensedisambiguation,0.68,In which films movie directed direct by Garry Marshall was Julia Roberts robert starring star,thesaurus.topn3,0.6727,films directed garry marshall julia roberts starring,anchor.topn3,0.6727,films directed garry marshall julia roberts starring,thesaurus.topn3.replace,0.6727,films directed garry marshall julia roberts starring,anchor.topn3.replace,0.6727,films directed garry marshall julia roberts starring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-26,Which bridges are of the same type as the Manhattan Bridge,0.0045,18,tagmee.topn3.replace,0.4562,Official language Languages of the Philippines,wiki.topn3.replace,0.1065,ethnologue languagpolicy lingua franca Official language ilokano language philippinlanguages kinaray a language Languages of the Philippines,wordnet.topn3,0.0288,bridges type manhattan bridge span case character span bridge circuit,wordnet.topn3.replace,0.0165,span case character manhattan span bridge circuit,tagmee.topn3,0.0129,bridges type manhattan bridge Bridge Manhattan Bridge,termluster.topn5.3.bm25,0.0128,bridges type manhattan bridge york transport state bridg citi new york transport state,glove.topn3,0.0105,bridges type manhattan bridge roads example midtown brooklyn crossing,wiki.topn3,0.0097,bridges type manhattan bridge bridges arch bridge suspension bridge Bridge williamsburg bridge pelham bay park  irt pelham line  new york city department of transportation Manhattan Bridge,docluster.topn10.3.bm25,0.0078,which bridges are of the same type as the manhattan bridge  bridg brooklyn tunnel,thesaurus.topn3,0.0076,bridges type manhattan bridge,anchor.topn3,0.0076,bridges type manhattan bridge,thesaurus.topn3.replace,0.0076,bridges type manhattan bridge,anchor.topn3.replace,0.0076,bridges type manhattan bridge,conceptluster.topn5.3.bm25,0.0076,bridges type manhattan bridge,sensedisambiguation,0.0071,Which bridges bridge are of the same type as the Manhattan Bridge,conceptnet.topn3,0.0057,bridges type manhattan bridge cross rivers Harry Bridges have a keyboard use a computer use a keyboard Hell s Kitchen water crossing over,relevancefeedback.topn10.bm25,0.0052,which bridges are of the same type as the manhattan bridge  bridg queen tunnel brooklyn new fratern railwai,word2vec.topn3,0.0051,bridges type manhattan bridge roads Cable stayed kind brooklyn Manhatten harlem cable stay,,,,,,,,,
QALD2_tr-28,Which European countries have a constitutional monarchy,0.0945,16,word2vec.topn3,0.3185,european countries constitutional monarchy europe american non european nations countires coutries consitutional constituional monarch,tagmee.topn3.replace,0.2593,Mayor of New York City,termluster.topn5.3.bm25,0.2202,european countries constitutional monarchy constitut countri monarchi unit union state unit union state unit union state,thesaurus.topn3,0.2173,european countries constitutional monarchy,anchor.topn3,0.2173,european countries constitutional monarchy,thesaurus.topn3.replace,0.2173,european countries constitutional monarchy,anchor.topn3.replace,0.2173,european countries constitutional monarchy,tagmee.topn3,0.2147,european countries constitutional monarchy Ethnic groups in Europe Europe Nation Constitutional monarchy,conceptluster.topn5.3.bm25,0.1719,european countries constitutional monarchy constitutional monarchy nation ethnic groups europe,glove.topn3,0.1599,european countries constitutional monarchy europe eu nations governments amendment legal monarch rulers,stem.paicehusk,0.1408,which europ country hav a constitut monarchy,stem.krovetz,0.1184,which europe country have a constitutional monarchy,relevancefeedback.topn10.bm25,0.11800000000000001,which european countries have a constitutional monarchy  spain monarchi arraiolo oath denmark absolut state law commonwealth monarch,sensedisambiguation,0.1178,Which European countries country have a constitutional monarchy,bertqe.topn10.bm25,0.1031,"{'Which European countries have a constitutional monarchy': 1.5, 'european council constitutional monarchy tallinn': 1.0, 'monarchy federation european council constitutional': 0.8061243659590458, 'europe british overseas territories constitutional': 0.18034942701484127, 'monaco liechtenstein formerly': 0.15686642870561715, 'current european monarchies': 0.13563779823407845}",stem.lovins,0.0965,which european countr hav a constitut monarch,,,,,,,,,,,,,,,
QALD2_tr-29,Which awards did WikiLeaks win,0.1806,17,bertqe.topn10.bm25,1.0,"{'Which awards did WikiLeaks win': 1.5, 'wikileaks sam adams award': 1.0, 'award n wikileaks wikileaksorg wikileaksinsurance': 0.9997696913864578, 'walkley awards wikileaks inside julian': 0.9993090741593735, 'international press freedom award': 0.9917088899124826, 'wikileaks achieved particular prominence': 0.8701059419622293}",tagmee.topn3,0.7222,awards wikileaks win WikiLeaks,onfields.topn3.10.1.1.bm25,0.5714,"{'win': 2, 'did': 2, 'award': 2, 'which': 2, 'wikileak': 2, 'assang': 2.0, 'julian': 1.821, 'australian': 1.75, 'leak': 1.631, 'journalist': 1.619, 'univers': 1.357, 'ellison': 1.321, 'hinostroza': 1.298, 'ecuadorian': 1.25, 'televis': 1.19}",glove.topn3,0.5278,awards wikileaks win nominations assange leaked victory,termluster.topn5.3.bm25,0.35,awards wikileaks win state,thesaurus.topn3,0.3063,awards wikileaks win,anchor.topn3,0.3063,awards wikileaks win,thesaurus.topn3.replace,0.3063,awards wikileaks win,anchor.topn3.replace,0.3063,awards wikileaks win,conceptluster.topn5.3.bm25,0.3063,awards wikileaks win,rm3.topn10.10.0.5.bm25,0.3,australian al award did journalist wikileak yemeni which kurdistan assang hinostroza win uganda film,sensedisambiguation,0.2235,Which awards prize did WikiLeaks win,relevancefeedback.topn10.bm25,0.2212,which awards did wikileaks win  hinostroza film assang wikileak novel uganda yemeni kurdistan al british,glove.topn3.replace,0.2168,nominations assange leaked victory,wiki.topn3,0.2116,awards wikileaks win online organizations internet censorship by organisation whistleblowing WikiLeaks,conceptnet.topn3.replace,0.2041,awards wikileaks compete playing a game,sensedisambiguation.replace,0.1838,Which prize did WikiLeaks win,,,,,,,,,,,,
QALD2_tr-30,Which state of the USA has the highest population density,0.0434,4,tagmee.topn3.replace,0.5721,Telecommunication Belgium,relevancefeedback.topn10.bm25,0.2571,which state of the usa has the highest population density  palau georgia colorado california balsam new counti pittsburgh,rm3.topn10.10.0.5.bm25,0.0697,state subdivis ha highest georgia palau densiti usa mountain church york kansa balsam town colorado which popul,wiki.topn3.replace,0.0613,telecommunications economics of transport and utility industries history of telecommunications Telecommunication belgium member states of the dutch language union benelux Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-31,What is the currency of the Czech Republic,0.1984,13,docluster.topn10.3.bm25,0.5485,what is the currency of the czech republic  koruna,thesaurus.topn3,0.4245,currency czech republic,anchor.topn3,0.4245,currency czech republic,tagmee.topn3,0.4245,currency czech republic Currency Czech Republic,thesaurus.topn3.replace,0.4245,currency czech republic,anchor.topn3.replace,0.4245,currency czech republic,termluster.topn5.3.bm25,0.4245,currency czech republic,conceptluster.topn5.3.bm25,0.4118,currency czech republic currency,tagmee.topn3.replace,0.3899,Karakoram,glove.topn3,0.3495,currency czech republic dollar slovak republic czech dominican,rm3.topn10.10.0.5.bm25,0.2264,bank czech treati republ belaru austria currenc koruna what union crown,wiki.topn3,0.2223,currency czech republic currency legal tender exchangrate Currency czech republic slovakia slovakia Czech Republic,relevancefeedback.topn10.bm25,0.2072,what is the currency of the czech republic  treati austria     belaru currenc koruna bank,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-32,Which countries in the European Union adopted the Euro,0.2718,11,glove.topn3,0.3858,countries european union adopted euro nations governments europe eu european currency european,rm3.topn10.10.0.5.bm25,0.3543,bank sweden european currenc montenegro union eurozon countri which euro criteria adopt,termluster.topn5.3.bm25,0.3357,countries european union adopted euro union eurozon european adopt bank coin adopt bank coin union eurozon european adopt bank coin,glove.topn3.replace,0.3206,nations governments europe eu european adopted currency european,thesaurus.topn3,0.3172,countries european union adopted euro,anchor.topn3,0.3172,countries european union adopted euro,thesaurus.topn3.replace,0.3172,countries european union adopted euro,anchor.topn3.replace,0.3172,countries european union adopted euro,onfields.topn3.10.1.1.bm25,0.3133,"{'union': 2, 'the': 2, 'in': 2, 'countri': 2, 'which': 2, 'eu': 2.0, 'european': 2, 'adopt': 2, 'euro': 2, 'montenegro': 1.133, 'criteria': 1.13, 'eurozon': 1.103, 'currenc': 1.092, 'converg': 1.076, 'enlarg': 1.076, 'unilater': 1.046}",sensedisambiguation,0.3021,Which countries country in the European Union adopted espouse the Euro,docluster.topn10.3.bm25,0.2782,which countries in the european union adopted the euro  euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-34,Which countries have more than two official languages,0.0248,12,tagmee.topn3.replace,0.5,Bruce Carver,wiki.topn3.replace,0.1667,beach head ii  thdictator strikes back big finish games brent erickson Bruce Carver,conceptnet.topn3,0.0624,countries two official languages continent flag war double a number number football official noticer salang syncretistic,tagmee.topn3,0.0521,countries two official languages Nation Official bilingualism in Canada Official language,conceptluster.topn5.3.bm25,0.0521,countries two official languages official language nation official bilingualism canada,termluster.topn5.3.bm25,0.0454,countries two official languages two offici languag also countri languag two languag countri two offici countri,thesaurus.topn3,0.0406,countries two official languages,anchor.topn3,0.0406,countries two official languages,thesaurus.topn3.replace,0.0406,countries two official languages,anchor.topn3.replace,0.0406,countries two official languages,docluster.topn10.3.bm25,0.0351,which countries have more than two official languages  languag,wiki.topn3,0.0294,countries two official languages independence nationality society Nation english language in canada commission of inquiry on thsituation of thfrench languagand linguistic rights in quebec section sixteen of thcanadian charter of rights and freedoms Official bilingualism in Canada ethnologue languagpolicy lingua franca Official language,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-35,Who is the owner of Universal Studios,0.0016,8,wiki.topn3,0.0745,owner universal studios universal studios former vivendi subsidiaries metro goldwyn mayer Universal Studios,tagmee.topn3,0.0227,owner universal studios Universal Studios,bertqe.topn10.bm25,0.0068,"{'Who is the owner of Universal Studios': 1.5, 'owned universal networks': 1.0, 'marshall universal studios richard long': 0.9892307692307691, 'wanger productions universal international': 0.9698461538461538, 'productions universal international pictures': 0.88, 'universal international pictures': 0.5464615384615384}",thesaurus.topn3,0.0064,owner universal studios,anchor.topn3,0.0064,owner universal studios,thesaurus.topn3.replace,0.0064,owner universal studios,anchor.topn3.replace,0.0064,owner universal studios,conceptluster.topn5.3.bm25,0.0064,owner universal studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-36,Through which countries does the Yenisei river flow,0.2603,10,onfields.topn3.10.1.1.bm25,0.4711,"{'flow': 2, 'the': 2, 'doe': 2, 'countri': 2, 'which': 2, 'through': 2, 'river': 2, 'yenisei': 2, 'reservoir': 1.405, 'krasnoyarsk': 1.374, 'angara': 1.252, 'mongolia': 1.202, 'irkutsk': 1.166, 'krai': 1.153, 'tuva': 1.129, 'abakan': 1.11, 'kyzylkhem': 1.067}",word2vec.topn3.replace,0.3378,nations countires coutries yenisei creek flow,rm3.topn10.10.0.5.bm25,0.3214,flow abakan tuva reservoir through mouth doe russia river countri which yenisei mongolia krasnoyarsk basin,conceptnet.topn3,0.3183,countries yenisei river flow continent flag war Yenisey River water stream current movement,thesaurus.topn3,0.2907,countries yenisei river flow,anchor.topn3,0.2907,countries yenisei river flow,thesaurus.topn3.replace,0.2907,countries yenisei river flow,anchor.topn3.replace,0.2907,countries yenisei river flow,conceptluster.topn5.3.bm25,0.284,countries yenisei river flow streamflow yenisei river,word2vec.topn3,0.2765,countries yenisei river flow nations countires coutries creek flow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-38,Which monarchs of the United Kingdom were married to a German,0.0149,13,word2vec.topn3,0.0852,monarchs united kingdom married german kings rulers unified king divorced remarried wed french germany,word2vec.topn3.replace,0.0833,kings rulers unified king divorced remarried wed french germany,sensedisambiguation.replace,0.0604,Which sovereign of the united kingdom were marry to a german,tagmee.topn3.replace,0.055,World Health Organization First Lady of the United States President of the United States Abraham Lincoln,glove.topn3,0.0549,monarchs united kingdom married german aristocrats states u s  uk king divorced wife germany austrian,relevancefeedback.topn10.bm25,0.0219,which monarchs of the united kingdom were married to a german  leopold hanov hi hygelac prussia denmark charl kent hungari,sensedisambiguation,0.0206,Which monarchs sovereign of the United Kingdom were married marry to a German,onfields.topn3.10.1.1.bm25,0.0173,"{'german': 2, 'a': 2, 'to': 2, 'marri': 2, 'were': 2, 'kingdom': 2, 'unit': 2, 'the': 2, 'of': 2, 'monarch': 2, 'which': 2, 'opold': 2.0, 'leopold': 1.892, 'belgian': 1.51, 'hanov': 1.439, 'belgium': 1.42, 'saxecoburg': 1.369, 'sigebert': 1.261, 'gotha': 1.255, 'hous': 1.255, 'brunhilda': 1.115, 'ingund': 1.096}",stem.krovetz,0.0171,which monarch of the united kingdom were married to a germany,thesaurus.topn3,0.0156,monarchs united kingdom married german,anchor.topn3,0.0156,monarchs united kingdom married german,thesaurus.topn3.replace,0.0156,monarchs united kingdom married german,anchor.topn3.replace,0.0156,monarchs united kingdom married german,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-40,What is the highest mountain in Australia,0.1217,9,wiki.topn3.replace,0.4413,video gampublisher activision interactiventertainment Video game developer video games single player video game mobygames Video game worldbuilding canon  fiction  christigolden Fictional universe hearthstone  heroes of warcraft ultima online world of warcraft  mists of pandaria World of Warcraft,tagmee.topn3.replace,0.3932,Video game developer Video game Fictional universe World of Warcraft,tagmee.topn3,0.2408,highest mountain australia Australia,thesaurus.topn3,0.2246,highest mountain australia,anchor.topn3,0.2246,highest mountain australia,thesaurus.topn3.replace,0.2246,highest mountain australia,anchor.topn3.replace,0.2246,highest mountain australia,conceptluster.topn5.3.bm25,0.2246,highest mountain australia,rm3.topn10.10.0.5.bm25,0.1583,australia tasmania highest peak rang mountain what mount wale provinc kokoda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-41,Give me all soccer clubs in Spain,0.0,11,tagmee.topn3.replace,0.0556,Game of Thrones  season    HBO Television program The Sopranos,wordnet.topn3,0.0033,give soccer clubs spain throw make establish association football guild bludgeon society Espana Kingdom of Spain,wiki.topn3.replace,0.002,thpointy end gamof thrones  season    gamof thrones  season    Game of Thrones  season    television channels and stations established in      hbo broadcasting companies of the united states HBO multiple camera setup dramatic programming sketch comedy Television program law   order nypd blue boardwalk empire The Sopranos,wiki.topn3,0.0008,give soccer clubs spain video greatest hits   history foolish beat lovnever felt so good Give In to Me laws of association football physical education association football positions Association football         divizia b         divizia b marian pană Football team rcd espanyol valencia cf real madrid c f  Spain national football team,wordnet.topn3.replace,0.0003,throw make establish association football guild bludgeon society Espana Kingdom of Spain,glove.topn3,0.0002,give soccer clubs spain take football basketball leagues portugal spanish,thesaurus.topn3,0.0001,give soccer clubs spain,anchor.topn3,0.0001,give soccer clubs spain,conceptnet.topn3,0.0001,give soccer clubs spain offer provide pay sport a team sport dance country a Spanish restaurant,thesaurus.topn3.replace,0.0001,give soccer clubs spain,anchor.topn3.replace,0.0001,give soccer clubs spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-42,What are the official languages of the Philippines,0.0587,11,tagmee.topn3,0.4594,official languages philippines Official language Languages of the Philippines,conceptluster.topn5.3.bm25,0.4594,official languages philippines official language languages philippines,thesaurus.topn3,0.44299999999999995,official languages philippines,anchor.topn3,0.44299999999999995,official languages philippines,thesaurus.topn3.replace,0.44299999999999995,official languages philippines,anchor.topn3.replace,0.44299999999999995,official languages philippines,glove.topn3,0.3121,official languages philippines according spoken manila,bertqe.topn10.bm25,0.2003,"{'What are the official languages of the Philippines': 1.5, 'philippines common languages spanish': 1.0, 'philippines tagalog language': 1.0, 'waray chavacano philippine languages': 0.9523809523809523, 'philippines cebuano language': 0.9047619047619047, 'filipino language sumilao bukidnon northwest': 0.5714285714285715}",wiki.topn3,0.1777,official languages philippines ethnologue languagpolicy lingua franca Official language ilokano language philippinlanguages kinaray a language Languages of the Philippines,glove.topn3.replace,0.0882,according spoken manila,sensedisambiguation,0.0602,What are the official languages terminology of the Philippines philippine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-43,Who is the mayor of New York City,0.0973,9,termluster.topn5.3.bm25,0.2703,mayor new york city citi new york citi mayor york citi mayor new york new name,thesaurus.topn3,0.2593,mayor new york city,anchor.topn3,0.2593,mayor new york city,tagmee.topn3,0.2593,mayor new york city Mayor of New York City,thesaurus.topn3.replace,0.2593,mayor new york city,anchor.topn3.replace,0.2593,mayor new york city,conceptluster.topn5.3.bm25,0.2593,mayor new york city mayor new york city,onfields.topn3.10.1.1.bm25,0.1444,"{'of': 2, 'the': 2, 'is': 2, 'who': 2, 'new': 2, 'citi': 2, 'york': 2, 'mayor': 2, 'elect': 1.474, 'wagner': 1.211, 'gaynor': 1.17, 'bloomberg': 1.108, 'univers': 1.072, '19130910': 1.041, 'partyjob': 1.026}",rm3.topn10.10.0.5.bm25,0.1122,depart new wagner william wickham york citi robert democrat parti elect mayor who,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-44,Who designed the Brooklyn Bridge,0.3138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-45,Which telecommunications organizations are located in Belgium,0.156,10,wiki.topn3.replace,0.3879,international health organizations world health organization publihealth organizations World Health Organization general encyclopedias wikimedia projects open content projects Wikipedia,tagmee.topn3,0.3768,telecommunications organizations located belgium Telecommunication Belgium,conceptluster.topn5.3.bm25,0.2565,telecommunications organizations located belgium telecommunication,thesaurus.topn3,0.2303,telecommunications organizations located belgium,anchor.topn3,0.2303,telecommunications organizations located belgium,thesaurus.topn3.replace,0.2303,telecommunications organizations located belgium,anchor.topn3.replace,0.2303,telecommunications organizations located belgium,relevancefeedback.topn10.bm25,0.2251,which telecommunications organizations are located in belgium  belgium financi european compani bell park luxembourg aten telindu,termluster.topn5.3.bm25,0.1757,telecommunications organizations located belgium organ telecommun brussel,conceptnet.topn3,0.1698,telecommunications organizations located belgium separatism networks situated overhead Kingdom of Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-47,What is the highest place of Karakoram,0.4127,8,tagmee.topn3,0.5198,highest place karakoram Karakoram,thesaurus.topn3,0.4826,highest place karakoram,anchor.topn3,0.4826,highest place karakoram,thesaurus.topn3.replace,0.4826,highest place karakoram,anchor.topn3.replace,0.4826,highest place karakoram,conceptluster.topn5.3.bm25,0.4826,highest place karakoram,stem.paicehusk,0.4248,what is the highest plac of karakoram,stem.lovins,0.4229,what is th highest plac of karakoram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-49,Give me all companies in the advertising industry,0.0129,13,termluster.topn5.3.bm25,0.3057,give companies advertising industry advertis compani,thesaurus.topn3,0.2868,give companies advertising industry,anchor.topn3,0.2868,give companies advertising industry,thesaurus.topn3.replace,0.2868,give companies advertising industry,anchor.topn3.replace,0.2868,give companies advertising industry,tagmee.topn3,0.2286,give companies advertising industry Give In to Me Company Advertising Advertising,conceptluster.topn5.3.bm25,0.22699999999999998,give companies advertising industry advertising company give,wiki.topn3,0.1536,give companies advertising industry video greatest hits   history foolish beat lovnever felt so good Give In to Me companies corporation subsidiary Company advertising agency marketing advertising campaign Advertising advertising agency marketing advertising campaign Advertising,bertqe.topn10.bm25,0.0282,"{'Give me all companies in the advertising industry': 1.5, 'media companies consumer brands': 1.0, 'advertising technology firm based': 0.9696440270801484, 'america online inc aol': 0.7012448132780082, 'advertising kerry group chelsea': 0.682900196549465, 'media companies including time inc': 0.2502729853679843}",word2vec.topn3,0.0269,give companies advertising industry provide firms corporations industy,glove.topn3,0.0215,give companies advertising industry take firms businesses ads business,tagmee.topn3.replace,0.0143,Software Software development Organization California,sensedisambiguation.replace,0.013999999999999999,yield me all ship s company in the advertising industry,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-50,What did Bruce Carver die from,0.0238,10,thesaurus.topn3,0.25,bruce carver die,anchor.topn3,0.25,bruce carver die,tagmee.topn3,0.25,bruce carver die Bruce Carver,thesaurus.topn3.replace,0.25,bruce carver die,anchor.topn3.replace,0.25,bruce carver die,conceptluster.topn5.3.bm25,0.25,bruce carver die,wiki.topn3,0.1667,bruce carver die beach head ii  thdictator strikes back big finish games brent erickson Bruce Carver,tagmee.topn3.replace,0.1556,Company Employment Aerospace engineering Oil well Nuclear reactor Nuclear reactor,wiki.topn3.replace,0.0882,companies corporation subsidiary Company income demographics child care Employment american institutof aeronautics and astronautics aeronautics astronautics Aerospace engineering drilling rig oil field refinery Oil well nuclear fission uranium     nuclear fuel Nuclear reactor nuclear fission uranium     nuclear fuel Nuclear reactor,termluster.topn5.3.bm25,0.0455,bruce carver die seri john,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-51,Give me all school types,0.0,10,thesaurus.topn3,0.0011,give school types,anchor.topn3,0.0011,give school types,thesaurus.topn3.replace,0.0011,give school types,anchor.topn3.replace,0.0011,give school types,termluster.topn5.3.bm25,0.0006,give school types school give,conceptluster.topn5.3.bm25,0.0005,give school types give,glove.topn3,0.0002,give school types take students kinds,conceptnet.topn3,0.0002,give school types offer provide pay class contravariance,word2vec.topn3,0.0001,give school types provide college kinds,glove.topn3.replace,0.0001,take students kinds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
