qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12
187,vanuatu ,0.0888,3,wordnet.topn3,0.1607,vanuatu Republic of Vanuatu New Hebrides ,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.139,"{'vanuatu': 2, 'minist': 1.333, 'prime': 1.24, 'consular': 1.14, 'pati': 1.093, 'melanesian': 1.093, 'nivanuatu': 1.093, 'vanuaaku': 1.093, 'espiritu': 1.078, 'natapei': 1.062, '52member': 1.031} ",wordnet.topn3.replace,0.1119,New Hebrides Republic of Vanuatu ,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service ,0.0171,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate ,0.024,3,sensedisambiguation,0.0382,gs thousand pay wage rate ,relevancefeedback.topn10.bm25,0.0244,gs pay rate pai ,docluster.topn10.3.bm25,0.0244,gs pay rate pai ,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance ,0.1001,4,relevancefeedback.topn10.bm25,0.1579,brooks brothers clearance off coupon save us cash brook shirt ,docluster.topn10.3.bm25,0.1215,brooks brothers clearance coupon brook off ,tagmee.topn3,0.1148,brooks brothers clearance Brooks Brothers ,conceptluster.topn5.3.bm25,0.1148,brooks brothers clearance brooks brothers ,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs ,0.0849,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida ,0.0513,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags ,0.1025,3,relevancefeedback.topn10.bm25,0.1222,dog clean up bags bag pet ,tagmee.topn3,0.1061,dog clean bags Dog ,conceptluster.topn5.3.bm25,0.1061,dog clean bags dog ,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds ,0.9121,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers ,0.0097,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat ,0.1938,2,adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,0.2954,"{'sore': 2, 'throat': 2, 'strep': 1.324, 'caus': 1.286, 'pain': 1.21, 'fever': 1.21, 'antibiot': 1.21, 'tonsil': 1.124, 'swollen': 1.086, 'mononucleosi': 1.086, 'rheumat': 1.076} ",onfields.topn3.10.1.0.bm25,0.2552,"{'sore': 2, 'throat': 2, 'caus': 1.171, 'deep': 1.112, 'young': 1.111, 'infect': 1.096, 'fever': 1.084, 'symptom': 1.066, 'strep': 1.065, 'diseas': 1.053, 'mononucleosi': 1.043} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower ,0.0425,5,wordnet.topn3,0.1149,idaho state flower Gem State ID tell land express flush efflorescence prime ,wiki.topn3,0.1063,idaho state flower idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,word2vec.topn3,0.0813,idaho state flower boise wyoming utah federal blossoms petals ,wiki.topn3.replace,0.0609,idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,glove.topn3,0.0546,idaho state flower boise wyoming federal floral ,,,,,,,,,,,,,,,,,,,,,
198,indiana state fairgrounds ,0.1972,5,relevancefeedback.topn10.bm25,0.234,indiana state fairgrounds fairground skate coliseum chapter ,rm3.topn10.10.0.5.bm25,0.2321,state indiana chapter counti fair fairground pm indianapoli skate coliseum pepsi ,onfields.topn3.10.1.0.bm25,0.2281,"{'state': 2, 'indiana': 2, 'fairground': 2, 'ohio': 1.029, 'indianapoli': 1.02, 'coliseum': 1.016, '38th': 1.013, '1202': 1.013, 'wwwingovstatefairfairgroundsskatingpublichtml': 1.011, 'nonskat': 1.005, '3179277622': 1.005, 'counti': 1.0} ",tagmee.topn3,0.2017,indiana state fairgrounds Indiana State Fair ,conceptluster.topn5.3.bm25,0.2017,indiana state fairgrounds indiana state fair ,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia ,0.0132,4,tagmee.topn3.replace,0.2031,Fibromyalgia ,tagmee.topn3,0.1477,fybromyalgia Fibromyalgia ,conceptluster.topn5.3.bm25,0.1477,fybromyalgia fibromyalgia ,bertqe.topn10.bm25,0.014,"{'fybromyalgia': 1.5, 'common symptoms fybromyalgia include   br': 1.0, 'title  view posts fybromyalgia ': 0.3125668449197861, ' title  fybromyalgia  title   meta httpequiv  contenttype  content  texthtml  charsetutf8   ': 0.2909090909090909, 'fybromyalgia rsd': 0.2358288770053476, 'posts fybromyalgia  rel  category': 0.11336898395721935} ",,,,,,,,,,,,,,,,,,,,,,,,
200,ontario california airport ,0.1879,2,thesaurus.topn3,0.2329,ontario california airport   Bear Flag State Cal  airfield airstrip ,wiki.topn3,0.2015,ontario california airport garden grove  california corona  california tustin  california Ontario  California macintosh internals apple inc  peripherals runway Airport ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
