qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16
166,computer programming ,0.0051,5,word2vec.topn3,0.0118,computer programming software programmers ,conceptnet.topn3,0.011,computer programming call by reference library ,relevancefeedback.topn10.qld,0.0071,computer programming comput program languag ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0058,"{'comput': 2, 'program': 2} ",sensedisambiguation,0.0057,computer programming program ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados ,0.0186,3,wiki.topn3.replace,0.0689,islands of barbados barbados saint lucia Barbados ,wiki.topn3,0.0639,barbados islands of barbados barbados saint lucia Barbados ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0572,"{'na': 2.0, 'barbado': 2, 'tel': 1.383, 'fax': 1.231, 'export': 1.148, 'caribbean': 1.125, 'bridgetown': 1.119, 'hous': 1.089, 'barbadian': 1.065, 'caricom': 1.047, 'bidc': 1.033} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma ,0.2925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war ,0.0868,6,thesaurus.topn3,0.1957,battles civil war  action assault   battle bloodshed ,termluster.topn5.3.qld,0.19,battles civil war war union timelin american battl book american battl book ,conceptnet.topn3,0.1089,battles civil war battle ,relevancefeedback.topn10.qld,0.1089,battles in the civil war battl ,docluster.topn10.3.qld,0.1089,battles in the civil war battl ,thesaurus.topn3.replace,0.0873, action assault civil  battle bloodshed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters ,0.0055,2,sensedisambiguation.replace,0.0221,water scooter ,sensedisambiguation,0.0208,scooters water scooter ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard ,0.1245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal ,0.2168,4,tagmee.topn3,0.2708,becoming paralegal Paralegal ,relevancefeedback.topn10.qld,0.2708,becoming a paralegal paraleg ,docluster.topn10.3.qld,0.2708,becoming a paralegal paraleg ,conceptluster.topn5.3.qld,0.2708,becoming paralegal paralegal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures ,0.3259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,rock art ,0.1006,2,wiki.topn3,0.135,rock art cavpainting petroglyph caves containing pictograms Rock art ,wiki.topn3.replace,0.1045,cavpainting petroglyph caves containing pictograms Rock art ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack ,0.0255,8,termluster.topn5.3.qld,0.0929,signs heartattack warn treatment symptom attack heart sign ,onfields.topn3.10.1.0.qld,0.0443,"{'a': 2, 'of': 2, 'sign': 2, 'heart': 2.0, 'heartattack': 2, 'attack': 1.913, 'pub0000804126973313': 1.047, 'googlecolorbord': 1.047, 'googlecolorurl': 1.047, '5974861129': 1.047, 'googleadcli': 1.047, 'googlecolorlink': 1.047, 'googlecolortext': 1.047, 'googleadchannel': 1.047} ",tagmee.topn3,0.0434,signs heartattack Medical sign Myocardial infarction ,conceptluster.topn5.3.qld,0.0434,signs heartattack myocardial infarction medical sign ,tagmee.topn3.replace,0.0388,Medical sign Myocardial infarction ,docluster.topn10.3.qld,0.035,signs of a heartattack heart ,glove.topn3,0.0263,signs heartattack indicating ,stem.trunc5,0.0263,signs of a heart ,,,,,,,,,,,,,,,,,,,,,,,,
176,weather strip ,0.0004,7,tagmee.topn3.replace,0.4649,Weatherstripping ,tagmee.topn3,0.079,weather strip Weatherstripping ,conceptluster.topn5.3.qld,0.079,weather strip weatherstripping ,wiki.topn3,0.0076,weather strip cryogenic deflashing heat fusion melt  manufacturing  Weatherstripping ,termluster.topn5.3.qld,0.003,weather strip strip door weather door ,rm3.topn10.10.0.5.qld,0.0024,weather cme strip girl forecast door stripper cheroke jeep bottom ,wiki.topn3.replace,0.0011,cryogenic deflashing heat fusion melt  manufacturing  Weatherstripping ,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,best long term care insurance ,0.0852,3,sensedisambiguation,0.1647,best better long term terminus care concern insurance policy ,wordnet.topn3,0.1092,best long term care insurance dear near skillful yearn tenacious full term terminal figure terminus wish forethought tending insurance policy indemnity ,word2vec.topn3,0.0902,best long term care insurance worst finest easiest short lengthy long  phrase care  premiums ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin ,0.0581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history ,0.0217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels ,0.0056,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,old coins ,0.0244,1,wiki.topn3,0.0249,old coins rastafarian texts old testament hebrew bible Old Testament gold coin mint  coin  numismatics Coin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking ,0.1327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo ,0.0042,16,wiki.topn3.replace,0.2639,kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,wiki.topn3,0.2549,kansas city mo kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,rm3.topn10.10.0.5.qld,0.1326,mo park     dr counti swope zoo citi kansa missouri wed ,tagmee.topn3.replace,0.1014,Kansas Kansas City  Missouri ,wordnet.topn3,0.0664,kansas city mo Kaw River urban center metropolis bit Mo minute ,conceptnet.topn3,0.0457,kansas city mo the United States Dodge City capital town Missouri molybdenum ,sensedisambiguation.replace,0.0408,kansa city moment ,tagmee.topn3,0.0373,kansas city mo Kansas Kansas City  Missouri ,conceptluster.topn5.3.qld,0.0373,kansas city mo kansas city missouri kansas ,termluster.topn5.3.qld,0.0268,kansas city mo new citi center new kansa center ,anchor.topn3.replace,0.0251,kansas city kayor kaya    ipaghiganti ,glove.topn3,0.0202,kansas city mo missouri oklahoma town d  l zheed ,relevancefeedback.topn10.qld,0.0156,kansas city mo citi kansa ,docluster.topn10.3.qld,0.0156,kansas city mo kansa citi ,wordnet.topn3.replace,0.006999999999999999,Sunflower State Kaw River metropolis urban center bit Show Me State minute ,sensedisambiguation,0.0047,kansas kansa city mo moment 
184,civil right movement ,0.1485,5,tagmee.topn3.replace,0.2816,Civil and political rights Freedom of movement ,tagmee.topn3,0.2335,civil right movement Civil and political rights Freedom of movement ,conceptluster.topn5.3.qld,0.2335,civil right movement freedom movement civil political rights ,wiki.topn3,0.2266,civil right movement rights civil liberties anti racism Civil and political rights united nations charter freedom of assembly territorial integrity Freedom of movement ,thesaurus.topn3,0.1702,civil right movement   appropriate good  act action ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,credit report ,0.0214,1,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.0491,"{'report': 2, 'credit': 2, 'bureau': 1.215, '30003500': 1.03, '26002600': 1.03, '38004200': 1.03, '19802770': 1.03, '42305170': 1.03, '19752759': 1.03, '18502600': 1.03, '18752675': 1.03, '25003350': 1.03} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc ,0.0491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu ,0.0894,5,wordnet.topn3,0.3074,vanuatu Republic of Vanuatu New Hebrides ,wordnet.topn3.replace,0.2866,New Hebrides Republic of Vanuatu ,conceptnet.topn3,0.1552,vanuatu New Hebrides ,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.139,"{'vanuatu': 2, 'minist': 1.333, 'prime': 1.24, 'consular': 1.14, 'pati': 1.093, 'melanesian': 1.093, 'nivanuatu': 1.093, 'vanuaaku': 1.093, 'espiritu': 1.078, 'natapei': 1.062, '52member': 1.031} ",wiki.topn3,0.1252,vanuatu vanuatu samoa palau Vanuatu ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service ,0.0058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate ,0.0168,1,sensedisambiguation,0.0193,gs thousand pay wage rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance ,0.0651,2,relevancefeedback.topn10.qld,0.1768,brooks brothers clearance brook off brother cash save coupon price ,docluster.topn10.3.qld,0.1059,brooks brothers clearance brook brother coupon off ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs ,0.07400000000000001,1,relevancefeedback.topn10.qld,0.0764,churchill downs churchil down plai ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida ,0.0399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags ,0.1044,2,relevancefeedback.topn10.qld,0.1255,dog clean up bags bag ,termluster.topn5.3.qld,0.1176,dog clean bags bag cat clean bag cat dog wast suppli pick ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds ,0.8362,6,tagmee.topn3,0.8879,designer dog breeds Dog crossbreed Dog breed ,conceptluster.topn5.3.qld,0.8879,designer dog breeds dog breed dog crossbreed ,tagmee.topn3.replace,0.8789,Dog crossbreed Dog breed ,onfields.topn3.10.1.0.qld,0.8784,"{'design': 2, 'dog': 2, 'breed': 2, 'cat': 1.087, 'hors': 1.039, 'hybrid': 1.036, 'crossbre': 1.031, 'sheep': 1.024, 'poodl': 1.024, 'cattl': 1.023, 'purebr': 1.021, 'cockapoo': 1.017} ",rm3.topn10.10.0.5.qld,0.8762,puppi hybrid purebr breeder design cross breed crossbr crossbre dog poodl ,termluster.topn5.3.qld,0.8625,designer dog breeds work wolf weight anim breeder club type two time ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers ,0.0104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat ,0.1724,2,adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,0.2954,"{'sore': 2, 'throat': 2, 'strep': 1.324, 'caus': 1.286, 'pain': 1.21, 'fever': 1.21, 'antibiot': 1.21, 'tonsil': 1.124, 'swollen': 1.086, 'mononucleosi': 1.086, 'rheumat': 1.076} ",onfields.topn3.10.1.0.qld,0.2559,"{'sore': 2, 'throat': 2, 'deep': 1.127, 'caus': 1.127, 'strep': 1.096, 'young': 1.094, 'infect': 1.069, 'symptom': 1.047, 'fever': 1.045, 'mononucleosi': 1.034, 'diseas': 1.024} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower ,0.1574,2,wiki.topn3,0.2386,idaho state flower idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,sensedisambiguation,0.1726,idaho state state of matter flower ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,indiana state fairgrounds ,0.2042,1,rm3.topn10.10.0.5.qld,0.2431,state indiana chapter counti fair fairground pm indianapoli skate coliseum pepsi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia ,0.0132,5,tagmee.topn3.replace,0.2046,Fibromyalgia ,tagmee.topn3,0.1098,fybromyalgia Fibromyalgia ,conceptluster.topn5.3.qld,0.1098,fybromyalgia fibromyalgia ,wiki.topn3,0.0182,fybromyalgia urinary incontinence chronic pain comorbidity Fibromyalgia ,bertqe.topn10.qld,0.0161,"{'fybromyalgia': 1.5, 'common symptoms fybromyalgia include   br': 1.0, 'title  view posts fybromyalgia ': 0.3125668449197861, ' title  fybromyalgia  title   meta httpequiv  contenttype  content  texthtml  charsetutf8   ': 0.2909090909090909, 'fybromyalgia rsd': 0.2358288770053476, 'posts fybromyalgia  rel  category': 0.11336898395721935} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,ontario california airport ,0.1905,1,thesaurus.topn3,0.2765,ontario california airport   Bear Flag State Cal  airfield airstrip ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
