qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
414,Cuba  sugar  exports ,0.2544,2,wordnet.topn3,0.2967,cuba sugar exports Republic of Cuba saccharify boodle pelf ,stem.trunc5,0.2598,cuba   sugar   expor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
415,drugs  Golden Triangle ,0.2735,1,anchor.topn3,0.4286,drugs golden triangle thenphel kunzong ongyal reneta   small  golden saxifrag golden weav ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416,Three Gorges Project ,0.3572,1,relevancefeedback.topn10.qld.rm3,0.4112,three gorges project li area gener gorg capac manufactur ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,creativity ,0.3289,2,wordnet.topn3,0.3576,creativity creative thinking ,wordnet.topn3.replace,0.3529,creative thinking ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,quilts  income ,0.4394,8,thesaurus.topn3,0.5679,quilts income  bedspread blanket  cash compensation ,wordnet.topn3,0.5171,quilts income puff comforter comfort ,termluster.topn5.3.qld.rm3,0.4737,quilts income made ,conceptnet.topn3,0.4694,quilts income made out of knitted patches tax profit ,glove.topn3,0.4562,quilts income bedding taxes ,conceptnet.topn3.replace,0.4487,quilts tax profit ,relevancefeedback.topn10.qld.rm3,0.4408,quilts  income quilt from he ,word2vec.topn3.replace,0.44,quilts earnings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,recycle  automobile tires ,0.1004,5,word2vec.topn3.replace,0.2085,recycle car tyres ,word2vec.topn3,0.1425,recycle automobile tires car tyres ,sensedisambiguation,0.10400000000000001,recycle   automobile car tires tire ,tagmee.topn3,0.1005,recycle automobile tires Recycling Car Tire ,conceptluster.topn5.3.qld.rm3,0.1005,recycle automobile tires car recycling tire ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,carbon monoxide poisoning ,0.4081,1,conceptnet.topn3,0.4169,carbon monoxide poisoning an element ophidism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,industrial waste disposal ,0.0479,14,tagmee.topn3.replace,0.1115,Industrial waste Waste management ,stem.porter,0.1079,industri wast dispos ,stem.porter2,0.1079,industri wast dispos ,tagmee.topn3,0.1048,industrial waste disposal Industrial waste Waste management ,conceptluster.topn5.3.qld.rm3,0.1048,industrial waste disposal industrial waste waste management ,wiki.topn3,0.0835,industrial waste disposal surfacwater wasttreatment list of wasttypes Industrial waste landfill landfill gas water treatment Waste management ,word2vec.topn3,0.0734,industrial waste disposal agricultural non industrial waster waste ,wiki.topn3.replace,0.0725,surfacwater wasttreatment list of wasttypes Industrial waste landfill landfill gas water treatment Waste management ,glove.topn3.replace,0.0675,manufacturing disposal waste ,glove.topn3,0.0655,industrial waste disposal manufacturing disposal waste ,conceptnet.topn3.replace,0.0621,factory heavy duty blue collar waste disposal ,stem.trunc5,0.0556,indus waste dispo ,stem.trunc4,0.0517,indu wast disp ,wordnet.topn3,0.0499,industrial waste disposal waste matter emaciate do in disposition garbage disposal ,,,,,,,,,,,,,,,,,,
422,art  stolen  forged ,0.3254,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
423,Milosevic  Mirjana Markovic ,0.6287,1,sensedisambiguation,0.6337,Milosevic   Mirjana Markovic markov ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,suicides ,0.1619,4,word2vec.topn3,0.2541,suicides murder suicides ,word2vec.topn3.replace,0.2274,murder suicides ,glove.topn3,0.1751,suicides homicides deaths ,docluster.topn10.3.qld.rm3,0.1725,suicides he said ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,counterfeiting money ,0.4508,3,termluster.topn5.3.qld.rm3,0.4898,counterfeiting money monei ,sensedisambiguation,0.4717,counterfeiting forge money ,relevancefeedback.topn10.qld.rm3,0.4643,counterfeiting money said counterfeit bank bill lu on i from ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,law enforcement  dogs ,0.0725,8,tagmee.topn3.replace,0.2886,Police Police dog ,sensedisambiguation,0.2509,law police enforcement   dogs pawl ,tagmee.topn3,0.2445,law enforcement dogs Police Police dog ,conceptluster.topn5.3.qld.rm3,0.2445,law enforcement dogs police police dog ,wiki.topn3,0.1249,law enforcement dogs publisafety crime prevention law enforcement Police law enforcement animals policcaptain search warrant Police dog ,wordnet.topn3,0.098,law enforcement dogs police practice of law natural law give chase wienerwurst hot dog ,relevancefeedback.topn10.qld.rm3,0.0853,law enforcement  dogs beach dog drug ,word2vec.topn3,0.0735,law enforcement dogs enforcement law canines cats ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,UV damage  eyes ,0.1727,12,relevancefeedback.topn10.qld.rm3,0.4039,uv damage  eyes protect pound ozon star america ey ash do ,sensedisambiguation.replace,0.3089,ultraviolet wrong   eye ,sensedisambiguation,0.278,UV ultraviolet damage wrong   eyes eye ,glove.topn3,0.2705,uv damage eyes ultraviolet sunlight caused lips ,tagmee.topn3,0.2699,uv damage eyes Ultraviolet Diabetic retinopathy ,conceptluster.topn5.3.qld.rm3,0.2699,uv damage eyes diabetic retinopathy ultraviolet ,word2vec.topn3,0.2536,uv damage eyes ultra violet ultraviolet UV damange harm ears half shut ,conceptnet.topn3,0.2169,uv damage eyes ultraviolet uvc harm corrode reading a newspaper head face ,anchor.topn3,0.2109,uv damage eyes photocycl irradiation  ultraviolet ,wordnet.topn3,0.2026,uv damage eyes UV ultraviolet illumination ultraviolet equipment casualty price center eyeball ,wordnet.topn3.replace,0.1844,UV ultraviolet radiation ultraviolet light legal injury harm wrong heart eyeball ,thesaurus.topn3,0.1733,uv damage eyes   accident blow  feeling mind ,,,,,,,,,,,,,,,,,,,,,,,,
428,declining birth rates ,0.2275,2,sensedisambiguation,0.2479,declining worsen birth rates rate ,docluster.topn10.3.qld.rm3,0.2335,declining birth rates year popul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,Legionnaires  disease ,0.4553,2,termluster.topn5.3.qld.rm3,0.4824,legionnaires disease diseas case legionnair case ,conceptnet.topn3,0.4814,legionnaires disease legionnaires disease illness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,killer bee attacks ,0.6269,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,robotic technology ,0.5302,1,docluster.topn10.3.qld.rm3,0.5609,robotic technology robot ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,profiling  motorists  police ,0.003,13,wiki.topn3,0.0707,profiling motorists police findlaw hatcrime mumia abu jamal Racial profiling seat belt auto mechanic moped Driving publisafety crime prevention law enforcement Police ,tagmee.topn3.replace,0.0619,Racial profiling Driving Police ,tagmee.topn3,0.0478,profiling motorists police Racial profiling Driving Police ,conceptluster.topn5.3.qld.rm3,0.0478,profiling motorists police driving police racial profiling ,word2vec.topn3,0.0323,profiling motorists police pedestrians cops policemen ,conceptnet.topn3,0.0301,profiling motorists police identification chief ,glove.topn3,0.0101,profiling motorists police stereotyping k      pedestrians drivers officers policemen ,wordnet.topn3,0.0076,profiling motorists police automobilist law patrol ,word2vec.topn3.replace,0.0068,profiling pedestrians cops policemen ,relevancefeedback.topn10.qld.rm3,0.0046,profiling  motorists  police drug nunn penalti park court said polic offic comput ,stem.trunc5,0.0044,profi   motor   polic ,stem.lovins,0.0041,profil   motor   polic ,termluster.topn5.3.qld.rm3,0.0034,profiling motorists police traffic polic car traffic motorist car ,,,,,,,,,,,,,,,,,,,,,
433,Greek  philosophy  stoicism ,0.0892,1,stem.krovetz,0.1234,greece   philosophy   stoicism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
434,Estonia  economy ,0.4281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
435,curbing population growth ,0.2359,3,relevancefeedback.topn10.qld.rm3,0.262,curbing population growth popul per countri ,termluster.topn5.3.qld.rm3,0.2612,curbing population growth women plan growth develop plan popul ,docluster.topn10.3.qld.rm3,0.2373,curbing population growth popul ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
436,railway accidents ,0.0415,6,word2vec.topn3,0.1506,railway accidents railroad fatalities incidents ,conceptnet.topn3,0.1071,railway accidents railroad happen anytime happen to anybody moving a car ,glove.topn3,0.0942,railway accidents rail railroad fatalities ,sensedisambiguation,0.0799,railway accidents accident ,word2vec.topn3.replace,0.0661,railroad fatalities incidents ,glove.topn3.replace,0.0436,rail railroad fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
437,deregulation  gas  electric ,0.0298,3,word2vec.topn3,0.0375,deregulation gas electric de regulation reregulation gases oil ,termluster.topn5.3.qld.rm3,0.0325,deregulation gas electric suppli market could ,conceptnet.topn3,0.0299,deregulation gas electric shock current tense ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,tourism  increase ,0.2244,2,wordnet.topn3,0.2844,tourism increase touristry growth gain addition ,termluster.topn5.3.qld.rm3,0.23399999999999999,tourism increase countri sector year year tourism sector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
439,inventions  scientific discoveries ,0.0139,3,sensedisambiguation,0.021,inventions invention   scientific discoveries discovery ,tagmee.topn3,0.0154,inventions scientific discoveries Invention Science Discovery  observation ,conceptluster.topn5.3.qld.rm3,0.0154,inventions scientific discoveries science discovery observation invention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440,child labor ,0.0398,3,wiki.topn3.replace,0.1913,debt bondage sweatshop exploitation Child labour ,wiki.topn3,0.1667,child labor debt bondage sweatshop exploitation Child labour ,tagmee.topn3.replace,0.1489,Child labour ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
441,Lyme disease ,0.4602,9,docluster.topn10.3.qld.rm3,0.4702,lyme disease tick diseas ,relevancefeedback.topn10.qld.rm3,0.4674,lyme disease tick diseas percent repel arthriti ,termluster.topn5.3.qld.rm3,0.4649,lyme disease diseas tick tick lyme ,stem.paicehusk,0.4632,lyme diseas ,stem.porter,0.4632,lyme diseas ,stem.porter2,0.4632,lyme diseas ,stem.trunc5,0.4632,lyme disea ,anchor.topn3,0.46299999999999997,lyme disease arenarius    condensatus     prerogativa ,wiki.topn3,0.4627,lyme disease lyme disease tick borne diseases neurodegenerative disorders Lyme disease ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442,heroic acts ,0.0095,6,glove.topn3.replace,0.0858,heroism hero such ,glove.topn3,0.0713,heroic acts heroism hero such ,thesaurus.topn3,0.063,heroic acts  bold courageous  action deed ,stem.lovins,0.0296,hero act ,stem.paicehusk,0.0296,hero act ,stem.trunc4,0.0296,hero acts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,U S   investment  Africa ,0.035,15,tagmee.topn3.replace,0.1077,United States dollar Foreign direct investment Africa ,tagmee.topn3,0.0979,u s  investment africa United States dollar Foreign direct investment Africa ,termluster.topn5.3.qld.rm3,0.0816,u s  investment africa also bank economi ,wiki.topn3,0.0802,u s  investment africa      introductions currencies of the kingdom of the netherlands historical currencies of the united states United States dollar economic policy international financcorporation capital market Foreign direct investment africa asia regions of africa Africa ,sensedisambiguation.replace,0.0727,united states government   investment   africa ,wordnet.topn3.replace,0.0593,U S  government the States investiture investment funds africa ,wiki.topn3.replace,0.0561,introductions currencies of the kingdom of the netherlands historical currencies of the united states United States dollar economic policy international financcorporation capital market Foreign direct investment africa asia regions of africa Africa ,relevancefeedback.topn10.qld.rm3,0.055999999999999994,u s   investment  africa percent south market ,docluster.topn10.3.qld.rm3,0.055999999999999994,u s   investment  africa percent south market ,conceptluster.topn5.3.qld.rm3,0.0537,u s  investment africa united states dollar foreign direct investment ,anchor.topn3,0.0482,u s  investment africa us  c      alphabet entolium    a   frica fojela ,glove.topn3.replace,0.0404,us u s investment african continent ,glove.topn3,0.037000000000000005,u s  investment africa us u s african continent ,word2vec.topn3,0.0369,u s  investment africa usa u s american african africans africa ,word2vec.topn3.replace,0.0366,usa u s american investment african africans africa ,,,,,,,,,,,,,,,
444,supercritical fluids ,0.4919,1,wiki.topn3,0.5356,supercritical fluids standard state prandtl number phas matter  Supercritical fluid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
445,women clergy ,0.2262,1,thesaurus.topn3,0.2318,women clergy  daughter girl  priesthood cardinalate ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446,tourists  violence ,0.2504,1,relevancefeedback.topn10.qld.rm3,0.3228,tourists  violence tourist egypt tourism we govern u  milit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447,Stirling engine ,0.0747,1,relevancefeedback.topn10.qld.rm3,0.1781,stirling engine hi cryocool util solar said develop bill elect ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
448,ship losses ,0.0154,2,thesaurus.topn3,0.023,ship losses  dispatch export  accident casualty ,termluster.topn5.3.qld.rm3,0.0158,ship losses regul vessel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449,antibiotics ineffectiveness ,0.0714,8,tagmee.topn3.replace,0.1163,Antibiotics ,thesaurus.topn3,0.0996,antibiotics ineffectiveness  penicillin amoxicillin  impotence inadequacy ,wordnet.topn3,0.0946,antibiotics ineffectiveness antibiotic drug ineffectuality ineffectualness ,wiki.topn3.replace,0.087,bactericides staphylococcus pancreas Antibiotics ,tagmee.topn3,0.0865,antibiotics ineffectiveness Antibiotics ,sensedisambiguation,0.0865,antibiotics antibiotic ineffectiveness ,conceptluster.topn5.3.qld.rm3,0.0865,antibiotics ineffectiveness antibiotics ,conceptnet.topn3,0.0833,antibiotics ineffectiveness kill bacteria ineffectuality inefficacy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
450,King Hussein  peace ,0.4827,2,anchor.topn3,0.5088,king hussein peace      a irivabedanga sveigðisson emadeldeen    ibrahim abdul husayn ,wiki.topn3,0.5035,king hussein peace jordanian aviators cancer deaths in jordan recipients of the national order of equatorial guinea Hussein of Jordan egalitarianism global civics civil disobedience Peace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Turkey Iraq water ,0.5612,3,termluster.topn5.3.qld.rm3,0.6382,turkey iraq water dam syria turkei dam iraq syria ,sensedisambiguation,0.6334,Turkey Iraq water water system ,relevancefeedback.topn10.qld.rm3,0.5645,turkey iraq water turkei gap project he syria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Czech  Slovak sovereignty ,0.2729,2,termluster.topn5.3.qld.rm3,0.2772,czech slovak sovereignty feder republ slovak czech feder republ ,wordnet.topn3,0.2743,czech slovak sovereignty Czechoslovak Czechoslovakian reign ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Tobacco cigarette lawsuit ,0.1874,2,stem.paicehusk,0.3337,tobacco cigaret lawsuit ,wordnet.topn3,0.2012,tobacco cigarette lawsuit baccy tobacco plant coffin nail fag case causa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Lyme disease arthritis ,0.8518,6,thesaurus.topn3.replace,0.9062,lyme  Cancer bug arthritis ,thesaurus.topn3,0.9028,lyme disease arthritis   Cancer bug ,conceptnet.topn3,0.8684,lyme disease arthritis slang new york jamaica illness gout ,stem.porter,0.8590000000000001,lyme diseas arthriti ,stem.porter2,0.8590000000000001,lyme diseas arthriti ,anchor.topn3,0.853,lyme disease arthritis arenarius    condensatus     prerogativa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Great Britain health care ,0.0408,6,thesaurus.topn3,0.0756,great britain health care  big considerable  Commonwealth of Nations England  energy fitness  responsibility affliction ,sensedisambiguation,0.069,Great Britain united kingdom health care concern ,tagmee.topn3,0.0608,great britain health care United Kingdom ,conceptluster.topn5.3.qld.rm3,0.0608,great britain health care united kingdom ,glove.topn3,0.0439,great britain health care good well british uk care healthcare health healthcare ,termluster.topn5.3.qld.rm3,0.0433,great britain health care care hospit insur health hospit insur ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,leg traps ban ,0.3694,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,human genetic code ,0.4987,6,wiki.topn3.replace,0.5821,apes humans tool using species Human epigenetics genetic epidemiology human genetic clustering Human genetics lambda phage nucleic acid mutagenesis Genetic code ,wiki.topn3,0.5505,human genetic code apes humans tool using species Human epigenetics genetic epidemiology human genetic clustering Human genetics lambda phage nucleic acid mutagenesis Genetic code ,glove.topn3,0.5446,human genetic code rights beings mutation dna gaacx ,relevancefeedback.topn10.qld.rm3,0.5279,human genetic code gene genet map ,sensedisambiguation,0.5159,human genetic genic code ,stem.lovins,0.5009,human genet cod ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,taxing social security ,0.0619,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,per capita alcohol consumption ,0.3281,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,minimum wage adverse impact ,0.0338,8,stem.porter,0.0908,minimum wage advers impact ,stem.porter2,0.0908,minimum wage advers impact ,tagmee.topn3.replace,0.0642,Minimum wage ,tagmee.topn3,0.0619,minimum wage adverse impact Minimum wage ,conceptluster.topn5.3.qld.rm3,0.0619,minimum wage adverse impact minimum wage ,word2vec.topn3,0.0448,minimum wage adverse impact maximum minumum sub minimum unfavorable deleterious effect influence ,thesaurus.topn3,0.0439,minimum wage adverse impact  minimal least possible  conduct do   brunt shock ,relevancefeedback.topn10.qld.rm3,0.0388,minimum wage adverse impact said mr job ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Kurds Germany violence ,0.2792,11,stem.paicehusk,0.3281,kurd germany viol ,stem.lovins,0.3187,kurd german viol ,wiki.topn3.replace,0.3104,Kurds in Germany ,tagmee.topn3.replace,0.3104,Kurds in Germany ,glove.topn3,0.3016,kurds germany violence kurdish sunnis german berlin violent bloodshed ,wiki.topn3,0.2996,kurds germany violence Kurds in Germany ,tagmee.topn3,0.2996,kurds germany violence Kurds in Germany ,conceptluster.topn5.3.qld.rm3,0.2996,kurds germany violence kurds germany ,wordnet.topn3,0.2992,kurds germany violence Federal Republic of Germany FRG wildness furiousness force ,glove.topn3.replace,0.2938,kurdish sunnis german berlin violent bloodshed ,thesaurus.topn3.replace,0.2878,kurds germany  assault attack ,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Tibet protesters ,0.5499,3,glove.topn3,0.593,tibet protesters tibetan tibetans demonstrators protestors ,glove.topn3.replace,0.5788,tibetan tibetans demonstrators protestors ,conceptnet.topn3,0.5676,tibet protesters Sino Tibetan Thibet a demonstration hold up banners ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Berlin wall disposal ,0.1817,3,tagmee.topn3,0.1898,berlin wall disposal Berlin Wall Bomb disposal ,conceptluster.topn5.3.qld.rm3,0.1898,berlin wall disposal berlin wall bomb disposal ,conceptnet.topn3,0.1855,berlin wall disposal Irving Berlin paint window appointment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Flavr Savr tomato ,0.1264,7,relevancefeedback.topn10.qld.rm3,0.2359,flavr savr tomato oil product genet ,docluster.topn10.3.qld.rm3,0.2359,flavr savr tomato genet product ,anchor.topn3,0.1731,flavr savr tomato      david baptist joachim jean xavi müller schott trussoni olbrychski menasinakaayi thondekaayi hunus ,wiki.topn3.replace,0.1647,neotame biopesticide p menthane     diol Flavr Savr neotame biopesticide p menthane     diol Flavr Savr tomatoes onion potato Tomato ,tagmee.topn3.replace,0.14800000000000002,Flavr Savr Flavr Savr Tomato ,tagmee.topn3,0.1424,flavr savr tomato Flavr Savr Flavr Savr Tomato ,glove.topn3,0.13,flavr savr tomato savr rw   flavr brett clanton chron com cucumber eggplant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,timber exports Asia ,0.1708,9,tagmee.topn3,0.4641,timber exports asia Lumber Export Asia ,conceptluster.topn5.3.qld.rm3,0.4534,timber exports asia lumber export ,glove.topn3,0.4482,timber exports asia logging lumber imports asian europe ,wordnet.topn3.replace,0.2912,forest tone timberland exports asia ,glove.topn3.replace,0.2722,logging lumber imports asian europe ,wiki.topn3,0.2444,timber exports asia logging sawmill hay Lumber import servic economics  food processing Export north america africa north america Asia ,stem.lovins,0.2272,timber export as ,tagmee.topn3.replace,0.2181,Lumber Export Asia ,termluster.topn5.3.qld.rm3,0.2126,timber exports asia export log timber log ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Volkswagen Mexico ,0.7252,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Russia Cuba economy ,0.3204,2,sensedisambiguation,0.4072,Russia soviet union Cuba economy ,sensedisambiguation.replace,0.33399999999999996,soviet union cuba economy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Ayatollah Khomeini death ,0.1757,15,word2vec.topn3,0.4663,ayatollah khomeini death marja Khomeni khamenei Khomenei dying ,word2vec.topn3.replace,0.4614,marja Khomeni khamenei Khomenei dying ,thesaurus.topn3.replace,0.4236,ayatollah khomeini  afterlife annihilation ,sensedisambiguation.replace,0.4062,ayatollah khomeini end ,termluster.topn5.3.qld.rm3,0.3842,ayatollah khomeini death khomeini polit islam polit ayatollah islam ,glove.topn3.replace,0.3818,khamenei khomeini ruhollah ayatollah died dead ,glove.topn3,0.3789,ayatollah khomeini death khamenei khomeini ruhollah ayatollah died dead ,conceptnet.topn3,0.3382,ayatollah khomeini death religious leader Ayatollah Ruholla Khomeini khomeinist killing life a war ,anchor.topn3,0.3199,ayatollah khomeini death khooyi ayahtolla abd os samad ghods e iran khoemini khomeini  al jamadi phonphanit qorayshi ,conceptnet.topn3.replace,0.3126,religious leader Ayatollah Ruholla Khomeini khomeinist killing life a war ,wordnet.topn3.replace,0.2818,ayatollah Ayatollah Ruholla Khomeini Ayatollah Khomeini decease demise ,wordnet.topn3,0.2659,ayatollah khomeini death Ayatollah Ruholla Khomeini Ayatollah Khomeini decease dying ,wiki.topn3.replace,0.1919,supreme leaders of iran supremleader of iran iranian people of indian descent Ruhollah Khomeini personifications of death mictlan lucifer Death  personification ,wiki.topn3,0.1899,ayatollah khomeini death supreme leaders of iran supremleader of iran iranian people of indian descent Ruhollah Khomeini personifications of death mictlan lucifer Death  personification ,sensedisambiguation,0.1786,Ayatollah Khomeini death end ,,,,,,,,,,,,,,,
619,Winnie Mandela scandal ,0.5219,3,relevancefeedback.topn10.qld.rm3,0.5808,winnie mandela scandal her mr ,docluster.topn10.3.qld.rm3,0.5808,winnie mandela scandal her mr ,thesaurus.topn3,0.5221,winnie mandela scandal    crime rumor ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,France nuclear testing ,0.0377,2,wordnet.topn3,0.0473,france nuclear testing French Republic Anatole France Jacques Anatole Francois Thibault atomic examination quiz essay ,conceptnet.topn3,0.0402,france nuclear testing country Paris Europe atomic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,women ordained Church of England ,0.3243,6,tagmee.topn3.replace,0.4744,Ordination Church of England ,wiki.topn3.replace,0.4161,christian ordination laity deacon Ordination christian denominations founded in great britain church of england anglican communion church bodies Church of England ,tagmee.topn3,0.4131,women ordained church england Ordination Church of England ,conceptluster.topn5.3.qld.rm3,0.3925,women ordained church england ordination ,wiki.topn3,0.3793,women ordained church england christian ordination laity deacon Ordination christian denominations founded in great britain church of england anglican communion church bodies Church of England ,anchor.topn3,0.3274,women ordained church england mo mo  south   mezzo tranøy   preyer  urnehov england cultur wardington  g e ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,price fixing ,0.0065,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,toxic chemical weapon ,0.3182,7,thesaurus.topn3,0.4393,toxic chemical weapon  deadly harmful  synthetic actinic  ammunition bomb ,word2vec.topn3,0.413,toxic chemical weapon poisonous noxious corrosive biological weaponry firearm ,wiki.topn3.replace,0.3821,lethal dose precursor  chemistry  intraperitoneal injection Toxicity male mediated teratogens sarin chemical weapons convention Chemical weapon ,wordnet.topn3,0.3769,toxic chemical weapon chemical substance arm artillery ,wiki.topn3,0.3748,toxic chemical weapon lethal dose precursor  chemistry  intraperitoneal injection Toxicity male mediated teratogens sarin chemical weapons convention Chemical weapon ,wordnet.topn3.replace,0.3295,toxic chemical substance arm weapon system ,glove.topn3,0.3287,toxic chemical weapon poisonous chemicals biological weaponry ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
