qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
QALD2_te-81,Which books by Kerouac were published by Viking Press,0.4137,8,rm3.topn10.10.0.5.qld,0.731,vike jack kerouac publish press stori beat novel which road book were,wordnet.topn3.replace,0.6672,Bible script Jack Kerouac Jean Louis Lebris de Kerouac release bring out issue viking printing press constrict,wordnet.topn3,0.6454,books kerouac published viking press Bible script Jack Kerouac Jean Louis Lebris de Kerouac release bring out issue printing press constrict,termluster.topn5.3.qld,0.5433,books kerouac published viking press vike press kerouac book press vike press kerouac jack book vike beat,conceptluster.topn5.3.qld,0.4781,books kerouac published viking press jack kerouac publishing book,tagmee.topn3,0.4518,books kerouac published viking press Book Jack Kerouac Publishing Viking Press,sensedisambiguation.replace,0.4268,Which book by kerouac were publish by viking wardrobe,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.4162,"{'vike': 2, 'publish': 2, 'were': 2, 'kerouac': 2, 'by': 2, 'which': 2, 'press': 2, 'book': 2, 'support': 2.0, 'public': 1.58, 'read': 1.52, 'ny': 1.52, 'univers': 1.49, 'promot': 1.45, 'librari': 1.14, 'expens': 1.14, 'poetri': 1.0}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-82,Give me a list of all American inventions,0.0024,15,tagmee.topn3.replace,0.4191,The Storm on the Sea of Galilee,word2vec.topn3,0.0412,give list american inventions provide list  british america inventors,thesaurus.topn3,0.0367,give list american inventions,anchor.topn3,0.0367,give list american inventions,thesaurus.topn3.replace,0.0367,give list american inventions,anchor.topn3.replace,0.0367,give list american inventions,wiki.topn3.replace,0.0356,ecchomo  elías garcía martínez  thconcert  vermeer  art loss register The Storm on the Sea of Galilee,sensedisambiguation,0.0159,Give yield me a list tilt of all American inventions invention,glove.topn3,0.0151,give list american inventions take u s  innovations,wordnet.topn3,0.0089,give list american inventions throw make establish lean name American language American English design excogitation,conceptluster.topn5.3.qld,0.0075,give list american inventions all america give a list,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.0058,"{'invent': 2, 'american': 2, 'all': 2, 'of': 2, 'list': 2, 'a': 2, 'me': 2, 'give': 2, '1': 2.0, '2': 1.735, '3': 1.674, 'univers': 1.414, 'patent': 1.245, 'panel': 1.209, 'know': 1.189, 'refus': 1.183, 'respons': 1.174, 'multiraci': 1.164, 'entri': 1.0}",word2vec.topn3.replace,0.0051,provide list  british america inventors,stem.krovetz,0.0037,give me a list of all america invention,bertqe.topn10.qld,0.0025,"{'Give me a list of all American inventions': 1.5, 'printing press invented': 1.0, 'invention printing': 0.8455098934550989, 'find best inventions': 0.3824200913242009, '890 give': 0.2728310502283104, 'best inventions never made': 0.07762557077625562}",,,,,,,,,,,,,,,
QALD2_te-84,Who created the comic Captain America,0.1781,8,tagmee.topn3.replace,0.6667,Miffy,tagmee.topn3,0.2587,created comic captain america Comic book Captain America,thesaurus.topn3,0.2088,created comic captain america,anchor.topn3,0.2088,created comic captain america,thesaurus.topn3.replace,0.2088,created comic captain america,anchor.topn3.replace,0.2088,created comic captain america,conceptluster.topn5.3.qld,0.2032,created comic captain america comic book,word2vec.topn3,0.1955,created comic captain america formed developed established comic book vice captain usa americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-86,What is the largest city in Australia,0.179,12,rm3.topn10.10.0.5.qld,0.3488,australian australia victoria metropolitan most largest melbourn what citi queensland sydnei wale,relevancefeedback.topn10.qld,0.3334,what is the largest city in australia  citi school melbourn sydnei australia area mine,termluster.topn5.3.qld,0.3116,largest city australia australia australian citi largest australian australia largest australian citi,thesaurus.topn3,0.2839,largest city australia,anchor.topn3,0.2839,largest city australia,thesaurus.topn3.replace,0.2839,largest city australia,anchor.topn3.replace,0.2839,largest city australia,tagmee.topn3,0.2645,largest city australia Melbourne City Centre Australia,conceptluster.topn5.3.qld,0.2601,largest city australia melbourne city centre,tagmee.topn3.replace,0.2522,Record label Elvis Presley Gramophone record First Album  Twelve album  Album,word2vec.topn3,0.2027,largest city australia biggest second largest smallest town metropolis australian sydney queensland,wiki.topn3,0.1893,largest city australia elizabeth street  melbourne la trobstreet  melbourne melbourntram rout   Melbourne City Centre australia states and territories of australia australian capital cities Australia,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-87,Who composed the music for Harold and Maude,0.1686,7,bertqe.topn10.qld,0.5714,"{'Who composed the music for Harold and Maude': 1.5, 'music written sigmund': 1.0, 'maude soundtrack cat stevens': 0.9945717732207479, 'english composer maude val rie': 0.9897466827503015, 'crowe harold maude 1971': 0.9858262967430639, 'bernstein aaron copland igor stravinsky': 0.9764776839565741}",tagmee.topn3.replace,0.55,Orangina,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.5028,"{'maud': 2, 'and': 2, 'harold': 2, 'for': 2, 'the': 2, 'who': 2, 'music': 2, 'compos': 2, 'cbm': 2.0, 'rc': 1.555, 'life': 1.327, 'discuss': 1.204, 'career': 1.157, 'greatest': 1.147, 'interview': 1.12, 'wolfner': 1.058, 'biographi': 1.008}",onfields.topn3.10.1.1.qld,0.252,"{'and': 2, 'for': 2, 'music': 2, 'the': 2, 'who': 2, 'harold': 2, 'maud': 2, 'compos': 2, 'evan': 1.487, 'piano': 1.408, 'bunger': 1.395, 'univers': 1.316, 'fould': 1.303, 'afi': 1.184, 'releas': 1.171, 'years100': 1.158}",stem.paicehusk,0.25,who compos the mus for harold and maud,wiki.topn3.replace,0.2,sangria dr pepper seven up tic tac Orangina,tagmee.topn3,0.1693,composed music harold maude The Who Musical composition Music Harold and Maude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-88,Which films starring Clint Eastwood did he direct himself,0.6521,7,thesaurus.topn3,0.8401,films starring clint eastwood direct,anchor.topn3,0.8401,films starring clint eastwood direct,thesaurus.topn3.replace,0.8401,films starring clint eastwood direct,anchor.topn3.replace,0.8401,films starring clint eastwood direct,glove.topn3,0.823,films starring clint eastwood direct movies co starring eastwood dempsey clint redford indirect directly,conceptnet.topn3,0.6627,films starring clint eastwood direct prima leading nuts washing his car geology eastwoodian door to door undeviating,tagmee.topn3,0.6576,films starring clint eastwood direct Harry Potter  film series  Clint Eastwood Film director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-89,In which city was the former Dutch queen Juliana buried,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-90,Where is the residence of the prime minister of Spain,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-91,Which U S  State has the abbreviation MN,0.0647,12,onfields.topn3.10.1.1.qld,0.2235,"{'the': 2, 'ha': 2, 'state': 2, 'which': 2, 'mn': 2, 'us': 2, 'abbrevi': 2, 'rout': 1.412, '14': 1.382, 'highway': 1.257, 'minnesota': 1.213, 'wyom': 1.188, 'dakota': 1.176, '116': 1.074, 'antigen': 1.07}",conceptnet.topn3,0.168,u s  state abbreviation mn Minnesota manganese bn,rm3.topn10.10.0.5.qld,0.1564,state highwai ha abbrevi paul u  minnesota saint code which rate parti rout mn high,stem.lovins,0.1541,which u s st ha th abbrevi mn,sensedisambiguation,0.1223,Which U S  united states government State state of matter has the abbreviation MN minnesota,wiki.topn3,0.1127,u s  state abbreviation mn country subdivisions of the americas west virginia west virginia U S  state dakota toponyms minnesota cities in minnesota Minnesota,thesaurus.topn3,0.0836,u s  state abbreviation mn,anchor.topn3,0.0836,u s  state abbreviation mn,thesaurus.topn3.replace,0.0836,u s  state abbreviation mn,anchor.topn3.replace,0.0836,u s  state abbreviation mn,termluster.topn5.3.qld,0.0836,u s  state abbreviation mn,stem.trunc5,0.0699,which u s state has the abbre mn,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-92,Show me all songs from Bruce Springsteen released between      and,0.2452,9,termluster.topn5.3.qld,0.4177,show songs bruce springsteen released           springsteen set rock album record releas album bruce record springsteen song set,thesaurus.topn3,0.41200000000000003,show songs bruce springsteen released,anchor.topn3,0.41200000000000003,show songs bruce springsteen released,thesaurus.topn3.replace,0.41200000000000003,show songs bruce springsteen released,anchor.topn3.replace,0.41200000000000003,show songs bruce springsteen released,conceptnet.topn3,0.34,show songs bruce springsteen released           music verse Robert the Bruce Sir David Bruce springsteenian out,wordnet.topn3,0.3348,show songs bruce springsteen released           establish shew render birdsong Song dynasty Sir David Bruce Robert I David Bruce secrete give up,tagmee.topn3,0.3322,show songs bruce springsteen released           Show Me  Kid Ink song  Song Bruce Springsteen,rm3.topn10.10.0.5.qld,0.316,all bruce springsteen length between           album from river singl me record rock show releas song,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-93,Which movies did Sam Raimi direct after Army of Darkness,0.4639,4,glove.topn3,0.5198,movies sam raimi direct army darkness films svahng zheed moodin pawf indirect directly forces military shadows twilight,word2vec.topn3,0.5111,movies sam raimi direct army darkness films jim alfie mr  indirect directly troops light shadows,tagmee.topn3,0.5032,movies sam raimi direct army darkness Feature film Sam Raimi Film director Army of Darkness,relevancefeedback.topn10.qld,0.4824,which movies did sam raimi direct after army of darkness  film dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-95,Who wrote the lyrics for the Polish national anthem,0.0178,19,word2vec.topn3,0.33799999999999997,wrote lyrics polish national anthem writes penned authored songs song regional international local song hymn,wordnet.topn3,0.3347,wrote lyrics polish national anthem compose save write language lyric poem down polish up internal home subject hymn,word2vec.topn3.replace,0.3333,writes penned authored songs song polish regional international local song hymn,wiki.topn3.replace,0.1903,socialist state ethnic nationalism self governance Nation state water transport in egypt rivers of egypt rivers of south sudan Nile,wiki.topn3,0.1667,wrote lyrics polish national anthem lyrics song songs Lyrics      compositions history of poland maciej płażyński Poland Is Not Yet Lost,sensedisambiguation.replace,0.1667,Who write the lyric for the polish national hymn,tagmee.topn3,0.1111,wrote lyrics polish national anthem Lyrics Poland Is Not Yet Lost,conceptluster.topn5.3.qld,0.1111,wrote lyrics polish national anthem poland yet lost lyrics,wordnet.topn3.replace,0.0833,compose save write language lyric poem down polish up internal home subject hymn,bertqe.topn10.qld,0.0652,"{'Who wrote the lyrics for the Polish national anthem': 1.5, 'national anthem mazurek browskiego': 1.0, 'juliusz kossak illustrating lyrics': 0.891891891891892, 'anthem mazurek browskiego dabrowskis': 0.891891891891892, 'dabrowski mazurka polish national anthem': 0.5405405405405405, 'mazurek polish anthem browskis': 0.4594594594594593}",glove.topn3,0.0607,wrote lyrics polish national anthem written writing songs song lithuanian hungarian   public tune,onfields.topn3.10.1.1.qld,0.0541,"{'nation': 2, 'polish': 2, 'for': 2, 'the': 2, 'wrote': 2, 'who': 2, 'lyric': 2, 'anthem': 2, 'mon': 1.742, 'lao': 1.68, 'gasqu': 1.423, 'monaco': 1.299, 'hymn': 1.278, 'compos': 1.227, 'paraguayo': 1.134, 'blica': 1.134, 'bellando': 1.124}",relevancefeedback.topn10.qld,0.0493,who wrote the lyrics for the polish national anthem  anthem nation lao thai cameroon poland canada alexandrov kuwait,sensedisambiguation,0.0348,Who wrote write the lyrics lyric for the Polish national anthem hymn,thesaurus.topn3,0.0316,wrote lyrics polish national anthem,anchor.topn3,0.0316,wrote lyrics polish national anthem,thesaurus.topn3.replace,0.0316,wrote lyrics polish national anthem,anchor.topn3.replace,0.0316,wrote lyrics polish national anthem,rm3.topn10.10.0.5.qld,0.0247,lao lyric poland alexandrov nation polish paraguai monaco anthem cameroon who canada wrote song,,,
QALD2_te-97,Who painted The Storm on the Sea of Galilee,0.3969,13,tagmee.topn3.replace,1.0,Class  biology  Millipede,termluster.topn5.3.qld,0.5312,painted storm sea galilee sea galile lake galile lake storm storm sea lake,wiki.topn3.replace,0.5,plant taxa by rank taxonomic rank phylum Class  biology  detritivores centipede chelicerate anatomy Millipede,tagmee.topn3,0.4326,painted storm sea galilee The Storm on the Sea of Galilee,stem.paicehusk,0.4167,who paint the storm on the sea of galil,stem.porter,0.4167,who paint the storm on the sea of galile,stem.porter2,0.4167,who paint the storm on the sea of galile,stem.trunc5,0.4167,who paint the storm on the sea of galil,thesaurus.topn3,0.4036,painted storm sea galilee,anchor.topn3,0.4036,painted storm sea galilee,thesaurus.topn3.replace,0.4036,painted storm sea galilee,anchor.topn3.replace,0.4036,painted storm sea galilee,conceptluster.topn5.3.qld,0.4036,painted storm sea galilee,,,,,,,,,,,,,,,,,,,,,
QALD2_te-98,Which country does the creator of Miffy come from,0.4167,3,bertqe.topn10.qld,0.6667,"{'Which country does the creator of Miffy come from': 1.5, 'miffy nijntje': 1.0, 'australia miffy cross vitaly tchernov': 0.9487179487179487, 'creator dick bruna united kingdom': 0.7179487179487178, 'inventions attributes miffy dutch nijntje': 0.7179487179487178, 'miffy emily yeung': 0.5641025641025641}",wiki.topn3,0.4667,country creator miffy come garbagpicking loossocks gin and tonic Miffy,tagmee.topn3,0.4667,country creator miffy come Miffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_te-99,For which label did Elvis record his first album,0.0707,13,tagmee.topn3,0.2648,label elvis record first album Record label Elvis Presley Gramophone record First Album  Twelve album  Album,conceptluster.topn5.3.qld,0.2648,label elvis record first album record label first album twelve album album elvis presley gramophone record,termluster.topn5.3.qld,0.2475,label elvis record first album hit releas record first album elvi first album elvi record elvi record first,thesaurus.topn3,0.2087,label elvis record first album,anchor.topn3,0.2087,label elvis record first album,thesaurus.topn3.replace,0.2087,label elvis record first album,anchor.topn3.replace,0.2087,label elvis record first album,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.1734,"{'album': 2, 'first': 2, 'hi': 2, 'elvi': 2, 'did': 2, 'label': 2, 'which': 2, 'for': 2, 'record': 2, 'ation': 1.727, 'orm': 1.382, 'phillip': 1.301, 'sun': 1.276, 'np': 1.15, 'ibid': 1.142, 'presley': 1.132, 'usdi': 1.065, '10240018': 1.065, 'companymemphi': 1.065}",rm3.topn10.10.0.5.qld,0.1536,label hi length elvi perkin did volum stiff compil album which first record preslei releas,bertqe.topn10.qld,0.1427,"{'For which label did Elvis record his first album': 1.5, '1974 rca records': 1.0, 'presley issued 1974': 0.962962962962963, 'rca rock roll elvis': 0.8148148148148149, 'elvis golden records pickwick records': 0.7777777777777778, 'rca records good times elvis': 0.5555555555555556}",wiki.topn3,0.128,label elvis record first album record labels independent record label independent record labels Record label cardiovascular disease deaths in tennessee sun records artists las vegas musicians Elvis Presley      in music      introductions singl music  Gramophone record     twelvalbum  bcareful what you don t wish for c cat trance First Album  Twelve album  albums media formats billboard     Album,relevancefeedback.topn10.qld,0.1119,for which label did elvis record his first album  perkin elvi album,glove.topn3,0.0709,label elvis record first album records presley impersonators previous second third song,,,,,,,,,,,,,,,,,,,,,
QALD2_te-100,Who produces Orangina,0.5183,6,bertqe.topn10.qld,0.885,"{'Who produces Orangina': 1.5, 'orangina first produced': 0.0, 'brand beton launched oranginas iconic': 1.0, 'orangina owned': 0.3333333333333333, 'credited transforming orangina': 0.3333333333333333, 'orangina credited': 0.3333333333333333}",relevancefeedback.topn10.qld,0.6514,who produces orangina  mott citi oasi orangina villemot american beton ting actor water,word2vec.topn3.replace,0.6367,generates creates delivers orangina,word2vec.topn3,0.6033,produces orangina generates creates delivers,tagmee.topn3,0.5917,produces orangina Orangina,onfields.topn3.10.1.1.qld,0.55,"{'produc': 2, 'who': 2, 'orangina': 2, 'mott': 2.0, 'oasi': 1.731, 'drink': 1.577, 'juic': 1.442, 'boufarik': 1.442, 'cocacola': 1.365, 'schwepp': 1.288, 'snappl': 1.231, 'subdivis': 1.192, 'duffymott': 1.173}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-1,Give me all female Russian astronauts,0.2599,14,thesaurus.topn3,0.6766,give female russian astronauts,anchor.topn3,0.6766,give female russian astronauts,thesaurus.topn3.replace,0.6766,give female russian astronauts,anchor.topn3.replace,0.6766,give female russian astronauts,termluster.topn5.3.qld,0.6766,give female russian astronauts,wordnet.topn3,0.6614,give female russian astronauts throw make establish distaff female person cosmonaut spaceman,sensedisambiguation.replace,0.6273,impart me all female russian astronaut,rm3.topn10.10.0.5.qld,0.4962,all space card award cosmonaut give astronaut russian soviet singl femal me you song,sensedisambiguation,0.4073,Give impart me all female Russian astronauts astronaut,conceptluster.topn5.3.qld,0.4037,give female russian astronauts russians give astronaut,wordnet.topn3.replace,0.3942,throw make establish distaff female person russian cosmonaut spaceman,tagmee.topn3,0.3611,give female russian astronauts Give In to Me Russians Astronaut,glove.topn3,0.2903,give female russian astronauts take male woman russia moscow cosmonauts iss,relevancefeedback.topn10.qld,0.2858,give me all female russian astronauts  space kondakova song award plagu soviet houston card,,,,,,,,,,,,,,,,,,
QALD2_tr-3,Who is the daughter of Bill Clinton married to,0.0195,10,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.1409,"{'to': 2, 'marri': 2, 'of': 2, 'daughter': 2, 'the': 2, 'is': 2, 'who': 2, 'bill': 2, 'clinton': 2, 'presid': 1.434, 'arkansa': 1.343, 'work': 1.313, 'governor': 1.283, 'hope': 1.263, 'univers': 1.152, 'began': 1.141, 'blyth': 1.121, 'degre': 1.061}",tagmee.topn3,0.1339,daughter bill clinton married Bill Clinton Same sex marriage,wiki.topn3,0.1241,daughter bill clinton married candidates in united states elections       rodham family clinton family Bill Clinton sexual orientation state recognition of same sex relationships civil union Same sex marriage,wordnet.topn3,0.1005,daughter bill clinton married girl flier poster nib Bill Clinton William Jefferson Clinton President Clinton matrimonial conjoin get hitched with,conceptnet.topn3,0.0878,daughter bill clinton married female girl child dollar William Jefferson Clinton DeWitt Clinton a liar Only humans divorced,wordnet.topn3.replace,0.075,girl flier poster nib Bill Clinton William Jefferson Clinton President Clinton matrimonial conjoin get hitched with,thesaurus.topn3,0.0275,daughter bill clinton married,anchor.topn3,0.0275,daughter bill clinton married,thesaurus.topn3.replace,0.0275,daughter bill clinton married,anchor.topn3.replace,0.0275,daughter bill clinton married,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-4,Which river does the Brooklyn Bridge cross,0.1387,19,tagmee.topn3,0.3408,river brooklyn bridge cross Brooklyn Bridge,wiki.topn3,0.3259,river brooklyn bridge cross visitor attractions in new york city bridges in brooklyn bridges on the national register of historiplaces in new york city Brooklyn Bridge,tagmee.topn3.replace,0.2764,Limerick Lake,sensedisambiguation,0.2606,Which river does the Brooklyn Bridge cross hybridization,glove.topn3,0.2579,river brooklyn bridge cross tributary bronx manhattan crossing,sensedisambiguation.replace,0.2565,Which river does the brooklyn bridge hybridization,thesaurus.topn3,0.2282,river brooklyn bridge cross,anchor.topn3,0.2282,river brooklyn bridge cross,thesaurus.topn3.replace,0.2282,river brooklyn bridge cross,anchor.topn3.replace,0.2282,river brooklyn bridge cross,conceptluster.topn5.3.qld,0.2282,river brooklyn bridge cross,glove.topn3.replace,0.2078,tributary bronx manhattan crossing cross,wordnet.topn3,0.2,river brooklyn bridge cross span bridge circuit hybridize get over frustrate,wordnet.topn3.replace,0.2,river brooklyn span bridge circuit hybridize get over frustrate,rm3.topn10.10.0.5.qld,0.1931,tunnel bridg minnesota york brooklyn doe kansa manhattan island which cross river mississippi,stem.krovetz,0.1634,which river do the brooklyn bridge cross,stem.lovins,0.1594,which river do th brooklyn bridg cros,termluster.topn5.3.qld,0.1545,river brooklyn bridge cross bridg cross brooklyn bridg cross river unit road river bridg river brooklyn,conceptnet.topn3,0.1491,river brooklyn bridge cross water stream New York crossing over symbol jesus religious,,,
QALD2_tr-6,Where did Abraham Lincoln die,0.0824,16,wordnet.topn3,0.3215,abraham lincoln die Ibrahim President Abraham Lincoln President Lincoln Abraham Lincoln snuff it die out fail,wordnet.topn3.replace,0.3063,Ibrahim President Abraham Lincoln President Lincoln Abraham Lincoln snuff it die out fail,termluster.topn5.3.qld,0.3058,abraham lincoln die lincoln presid state abraham presid state,tagmee.topn3.replace,0.2571,Television program Television The Walt Disney Company,thesaurus.topn3,0.2198,abraham lincoln die,anchor.topn3,0.2198,abraham lincoln die,thesaurus.topn3.replace,0.2198,abraham lincoln die,anchor.topn3.replace,0.2198,abraham lincoln die,rm3.topn10.10.0.5.qld,0.1763,lincoln abraham histor where die did assassin statu kentucki cent rapp inaugur film,adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,0.1556,"{'did': 2, 'where': 2, 'die': 2, 'abraham': 2, 'lincoln': 2, 'room': 1.229, 'home': 1.176, 'hous': 1.171, 'would': 1.141, 'tad': 1.129, 'springfield': 1.1, 'mari': 1.0, 'slaveri': 1.0}",onfields.topn3.10.1.1.qld,0.1538,"{'die': 2, 'did': 2, 'where': 2, 'abraham': 2, 'lincoln': 2, 'assassin': 1.558, 'cent': 1.34, 'coin': 1.167, 'revers': 1.112, 'obvers': 1.071, 'hodgenvil': 1.068, 'confeder': 1.051, 'penni': 1.02, 'kentucki': 1.0}",relevancefeedback.topn10.qld,0.1491,where did abraham lincoln die  cent kentucki assassin state film rapp,stem.lovins,0.1367,whes did abraham lincoln di,wiki.topn3.replace,0.0993,multiple camera setup dramatic programming sketch comedy Television program      introductions television video hardware Television timwarner walt disney pictures viacom The Walt Disney Company,tagmee.topn3,0.0917,abraham lincoln die Abraham Lincoln Coining  mint,wiki.topn3,0.0844,abraham lincoln die united states presidential candidates       people from larue county  kentucky people from macon county  illinois Abraham Lincoln latten depletion gilding cast coinage Coining  mint,,,,,,,,,,,,
QALD2_tr-8,Which states of Germany are governed by the Social Democratic Party,0.2679,5,thesaurus.topn3,0.2701,states germany governed social democratic party,anchor.topn3,0.2701,states germany governed social democratic party,thesaurus.topn3.replace,0.2701,states germany governed social democratic party,anchor.topn3.replace,0.2701,states germany governed social democratic party,tagmee.topn3,0.2683,states germany governed social democratic party Member state of the European Union Germany Social Democratic Party of Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-9,Which U S  states possess gold minerals,0.0186,12,tagmee.topn3.replace,0.6717,Film Film director Garry Marshall Julia Roberts,onfields.topn3.10.1.1.qld,0.09300000000000001,"{'miner': 2, 'gold': 2, 'which': 2, 'us': 2, 'state': 2, 'possess': 2, 'unit': 1.868, 'america': 1.678, 'claim': 1.129, 'lode': 1.099, 'vein': 1.06, 'plaintiff': 1.053, 'boaro': 1.038, 'discoveri': 1.0}",relevancefeedback.topn10.qld,0.064,which u s  states possess gold minerals  claim colombia state salt andvari unit silver mine,conceptluster.topn5.3.qld,0.0553,u s  states possess gold minerals mineral gold,rm3.topn10.10.0.5.qld,0.0379,mine state jade reserv possess u  karlit colombia miner which salt or gold claim,tagmee.topn3,0.0311,u s  states possess gold minerals U S  state Gold Mineral,termluster.topn5.3.qld,0.0301,u s  states possess gold minerals gold miner possess miner possess gold,wiki.topn3.replace,0.0247,film art media media formats Film film directors film crew screenwriter Film director michael j  leeson tasha scott molly cheek Garry Marshall sandra bullock kevin bacon michellpfeiffer Julia Roberts,thesaurus.topn3,0.0208,u s  states possess gold minerals,anchor.topn3,0.0208,u s  states possess gold minerals,thesaurus.topn3.replace,0.0208,u s  states possess gold minerals,anchor.topn3.replace,0.0208,u s  states possess gold minerals,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-10,In which country does the Nile start,0.0108,12,wiki.topn3,0.1893,country nile start socialist state ethnic nationalism self governance Nation state water transport in egypt rivers of egypt rivers of south sudan Nile,tagmee.topn3,0.1699,country nile start Nation state Nile,thesaurus.topn3,0.1685,country nile start,anchor.topn3,0.1685,country nile start,thesaurus.topn3.replace,0.1685,country nile start,anchor.topn3.replace,0.1685,country nile start,conceptnet.topn3,0.055999999999999994,country nile start nation river beginning begin,tagmee.topn3.replace,0.0517,Bridge Manhattan Bridge,wiki.topn3.replace,0.0505,bridges arch bridge suspension bridge Bridge williamsburg bridge pelham bay park  irt pelham line  new york city department of transportation Manhattan Bridge,wordnet.topn3,0.0444,country nile start body politic nation Nile River starting signal lead off embark on,conceptluster.topn5.3.qld,0.043,country nile start nation state,stem.krovetz,0.0157,in which country do the nile start,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-11,Which countries have places with more than two caves,0.0219,3,tagmee.topn3.replace,0.0629,Ethnic groups in Europe Europe Nation Constitutional monarchy,bertqe.topn10.qld,0.0357,"{'Which countries have places with more than two caves': 1.5, 'united statesthe cave': 1.0, '2400 caves slovakia': 0.6666666666666667, 'slovakia list caves': 0.5757575757575757, 'cave 9': 0.24242424242424243, 'slovakia lists caves lists': 0.2121212121212121}",rm3.topn10.10.0.5.qld,0.0241,than kyrgyzstan cave yokoi cricket place slovakia metr more two have countri album which devil architectur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-13,Which classis does the Millepede belong to,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-15,Who created Goofy,0.1934,7,tagmee.topn3,0.4384,created goofy Goofy,tagmee.topn3.replace,0.4039,The State of The USA Population density,thesaurus.topn3,0.2512,created goofy,anchor.topn3,0.2512,created goofy,thesaurus.topn3.replace,0.2512,created goofy,anchor.topn3.replace,0.2512,created goofy,conceptluster.topn5.3.qld,0.2512,created goofy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QALD2_tr-16,Give me the capitals of all countries in Africa,0.0001,18,tagmee.topn3.replace,0.3694,Currency Czech Republic,wiki.topn3.replace,0.1476,currency legal tender exchangrate Currency czech republic slovakia slovakia Czech Republic,conceptnet.topn3,0.0109,give capitals countries africa offer provide pay caps continent flag war a continent a village an elephant,glove.topn3,0.0077,give capitals countries africa take piyanart srivalo nations governments african continent,thesaurus.topn3,0.0074,give capitals countries africa,anchor.topn3,0.0074,give capitals countries africa,thesaurus.topn3.replace,0.0074,give capitals countries africa,anchor.topn3.replace,0.0074,give capitals countries africa,word2vec.topn3,0.0067,give capitals countries africa provide capitols cities nations countires coutries african africans africa,wordnet.topn3,0.0029,give capitals countries africa throw make establish capital letter cap uppercase body politic nation,conceptnet.topn3.replace,0.002,offer provide pay caps continent flag war a continent a village an elephant,word2vec.topn3.replace,0.0011,provide capitols cities nations countires coutries african africans africa,conceptluster.topn5.3.qld,0.0009,give capitals countries africa give africa roman province,glove.topn3.replace,0.0006,take piyanart srivalo nations governments african continent,tagmee.topn3,0.0004,give capitals countries africa Give In to Me Africa  Roman province,wordnet.topn3.replace,0.0003,throw make establish capital letter cap uppercase body politic nation africa,stem.trunc4,0.0003,give me the capi of all coun in afri,sensedisambiguation,0.0002,Give yield me the capitals das kapital of all countries state in Africa,,,,,,
